Name,Conscientiousness,Conscientiousness_SampleError,Openness,Openness_SampleError,Agreeablenes,Agreeablenes_SampleError,Emotionalrange,Emotionalrange_SampleError,Extraversion,Extraversion_SampleError
Rep. Todd Young,74,8,82,4,16,8,21,8,32,4
Rep. Tom Cole,85,8,82,5,32,8,21,8,36,5
Rep. Tom Marino,65,8,77,4,22,8,24,7,49,4
Rep. Trent Franks,53,8,84,4,7,8,35,7,43,4
Rep. Vern Buchanan,15,9,53,5,79,9,56,8,60,5
Rep. Vicky Hartzler,74,8,72,4,32,8,17,8,64,4
Rep. Walter Jones,74,8,90,4,5,8,24,7,22,4
Rep. Will Hurd,78,8,72,5,54,8,12,8,79,5
RepCharlieDent,84,8,81,5,21,8,15,8,47,4
RepKevinBrady,65,8,86,4,10,8,28,7,24,4
RepMarkAmodei,15,9,53,5,79,9,56,8,60,5
RepScottPerry,89,8,86,4,25,8,9,7,47,4
Rich Nugent,49,10,91,6,5,10,21,9,22,6
Richard Burr,65,8,76,4,30,8,22,7,62,4
Richard Hudson,68,8,63,4,52,8,28,8,66,4
Richard Shelby,79,9,93,5,4,9,19,8,15,5
Rick W. Allen,86,9,69,5,62,9,17,8,63,5
Rob Bishop,0,0,0,0,0,0,0,0,0,0
Rob Portman,77,8,73,4,25,8,24,8,48,4
Rob Woodall,87,9,78,5,58,9,9,8,63,5
Rodney Frelinghuysen,93,9,77,5,40,9,16,8,39,5
Ron DeSantis,49,8,76,4,17,8,25,7,60,4
Ryan Zinke,78,9,85,5,21,9,19,8,46,5
Sam Johnson,68,8,79,5,14,8,27,8,37,5
Scott DesJarlais,52,8,67,4,32,8,21,7,75,4
Scott Garrett,63,9,77,5,15,9,22,8,52,5
Sean Duffy,63,8,67,4,46,8,21,7,74,4
Sen. James Lankford,15,9,53,5,79,9,56,8,60,5
Sen. John Barrasso,52,8,80,4,6,8,36,7,27,4
Sen. Lamar Alexander,52,8,86,4,4,8,31,7,25,4
Sen. Lisa Murkowski,77,8,83,4,18,8,20,8,41,4
Sen. Susan Collins,69,8,92,5,3,8,27,8,24,5
Senator Ben Sasse,50,9,85,5,9,9,42,8,33,5
Senator Bob Corker,62,8,90,4,6,8,25,8,41,4
Senator Dan Coats,70,8,87,4,14,8,24,7,40,4
Senator David Vitter,0,0,0,0,0,0,0,0,0,0
Senator Deb Fischer,77,8,75,4,27,8,21,7,56,4
Senator Jim Risch,71,9,63,5,43,9,23,8,81,5
Senator John Boozman,77,8,81,4,27,8,15,7,57,4
Senator John Hoeven,92,8,76,5,22,8,16,7,37,4
Senator John Thune,82,8,84,4,17,8,17,8,38,4
Senator Mike Crapo,77,8,91,4,11,8,15,8,34,4
Senator Mike Rounds,89,8,73,5,57,8,10,8,63,5
Senator Pat Toomey,72,8,84,4,20,8,20,8,53,4
Senator Roger Wicker,84,8,88,4,9,8,21,7,22,4
Senator Ron Johnson,45,8,72,4,25,8,28,7,68,4
Senator Roy Blunt,59,8,40,4,56,8,25,8,86,4
Senator Ted Cruz,35,8,82,4,6,8,50,8,36,4
Senator Thad Cochran,79,8,85,4,7,8,31,7,26,4
Senator Thom Tillis,85,8,84,5,20,8,16,8,47,5
SenDanSullivan,58,8,77,5,12,8,38,8,34,5
Sensenbrenner Press,67,9,92,5,3,9,24,8,21,5
Shelley Moore Capito,82,8,79,4,38,8,15,8,57,4
Stephen Fincher,74,8,70,4,39,8,15,8,51,4
Steve Chabot,79,8,70,5,58,8,13,7,70,4
Steve Daines,81,8,81,4,35,8,15,7,46,4
Steve King,60,8,86,4,6,8,30,7,33,4
Steve Knight,86,10,33,6,93,10,1,10,98,6
Steve Pearce,82,8,84,4,23,8,16,8,46,4
Steve Stivers,15,9,53,5,79,9,56,8,60,5
Susan W. Brooks,90,8,77,4,64,8,11,7,68,4
Ted Poe,80,8,91,4,6,8,14,8,32,4
Ted Yoho,77,9,70,5,53,9,14,8,73,5
Thomas Massie,66,8,89,5,10,8,16,8,37,5
Tim Scott,73,8,72,4,51,8,21,7,68,4
Tom Cotton,83,8,92,4,12,8,16,8,37,4
Tom Emmer,89,8,73,5,59,8,10,8,65,4
Tom Graves,75,8,80,4,20,8,18,8,41,4
Tom MacArthur,88,8,64,5,69,8,11,8,73,5
Tom McClintock,78,9,92,5,5,9,21,8,18,5
Tom Price,61,8,79,4,12,8,36,8,27,4
Tom Reed,86,8,74,5,41,8,18,8,42,5
Tom Rooney,35,8,70,4,5,8,50,7,26,4
Trent Kelly,83,9,76,6,65,9,8,9,80,5
Trey Gowdy,73,8,87,5,19,8,10,8,73,5
U.S. Rep. Billy Long,77,8,85,4,17,8,24,7,26,4
U.S. Rep. Bob Latta,82,8,79,4,19,8,18,7,37,4
US Rep Rodney Davis,90,8,85,4,28,8,10,7,37,4
US Rep. Mike Turner,69,8,80,5,21,8,22,8,70,4
Virginia Foxx,15,9,53,5,79,9,56,8,60,5
