Name,Conscientiousness,Conscientiousness_SampleError,Openness,Openness_SampleError,Agreeablenes,Agreeablenes_SampleError,Emotionalrange,Emotionalrange_SampleError,Extraversion,Extraversion_SampleError
Mike Quigley,70,8,58,4,38,8,29,8,58,4
Mike Thompson,86,8,79,4,23,8,21,7,27,4
Nancy Pelosi,61,8,66,4,27,8,34,8,53,4
Niki Tsongas,82,8,78,4,15,8,20,8,30,4
Nita Lowey,49,8,78,5,8,8,45,7,37,4
Office of Sen. Coons,88,8,97,4,2,8,11,7,8,4
Patrick Murphy,92,8,72,5,62,8,8,7,65,4
Paul Tonko,62,8,78,4,9,8,35,7,21,4
Pete Aguilar,77,9,46,5,77,9,19,8,69,5
Pete Gallego,84,8,79,4,20,8,17,7,34,4
Raul M. Grijalva,42,8,78,4,7,8,45,7,33,4
Raul Ruiz,92,9,71,5,52,9,13,8,68,5
Rep Cedric Richmond,81,8,76,5,26,8,18,7,42,4
Rep Donna F Edwards,63,8,69,4,18,8,33,7,35,4
Rep Peter DeFazio,51,9,83,5,6,9,35,8,18,5
Rep. Adam Smith,76,8,75,4,33,8,25,7,50,4
Rep. Alan Grayson,46,8,77,4,10,8,28,7,59,4
Rep. Alan Lowenthal,15,9,53,5,79,9,56,8,60,5
Rep. Ann Kirkpatrick,80,8,63,5,28,8,17,7,58,4
Rep. Anna G. Eshoo,84,8,84,5,13,8,19,8,25,5
Rep. Barbara Lee,64,8,68,4,24,8,36,8,48,4
Rep. Beto O'Rourke,78,8,73,4,34,8,16,7,49,4
Rep. Bobby Scott,91,8,88,4,14,8,10,7,44,4
Rep. Cheri Bustos,15,9,53,5,79,9,56,8,60,5
Rep. Dan Kildee,57,8,61,4,46,8,28,7,74,4
Rep. Daniel Lipinski,90,8,86,5,29,8,17,8,31,5
Rep. Danny Davis,76,9,84,5,14,9,16,8,43,5
Rep. Debbie Dingell,70,9,48,5,64,9,29,8,80,5
Rep. Derek Kilmer,83,8,75,5,44,8,19,8,44,5
Rep. Diana DeGette,51,8,56,4,35,8,35,7,73,4
Rep. Don Beyer,66,8,75,5,40,8,26,7,62,4
Rep. Doris Matsui,78,8,71,5,23,8,20,7,50,4
Rep. Ed Perlmutter,89,8,82,4,20,8,15,7,19,4
Rep. Emanuel Cleaver,59,8,76,4,30,8,27,8,50,4
Rep. Eric Swalwell,53,8,55,4,39,8,29,7,68,4
Rep. Frank Pallone,72,8,78,4,11,8,33,8,35,4
Rep. Gene Green,80,9,74,5,31,9,20,8,53,5
